Invoice Number,Customer Name,Invoice Date,Amount,GST Number,Product/Service,Payment Status,Payment Date,GST Rate,CGST,SGST,IGST,Total Amount
SALE-2024-001,XYZ Manufacturing Ltd,2024-12-01,500000,27AABCX1234A1Z5,Industrial machinery,Paid,2024-12-15,18%,45000,45000,0,590000
SALE-2024-002,ABC Retail Chain,2024-12-03,250000,09AABCA5678B2Z6,Consumer electronics,Paid,2024-12-18,12%,15000,15000,0,280000
SALE-2024-003,DEF Services Pvt Ltd,2024-12-05,180000,27AABCD9012C3Z7,Software development,Pending,,18%,16200,16200,0,212400
SALE-2024-004,GHI Construction Co,2024-12-07,350000,27AABCG4567D4Z8,Construction materials,Paid,2024-12-22,12%,21000,21000,0,392000
SALE-2024-005,JKL Pharmaceuticals,2024-12-10,420000,27AABCJ7890E5Z9,Medical equipment,Paid,2024-12-25,5%,10500,10500,0,441000
SALE-2024-006,MNO Logistics Ltd,2024-12-12,300000,27AABCM3456F6Z0,Transportation services,Paid,2024-12-27,18%,27000,27000,0,354000
SALE-2024-007,PQR Textiles Pvt Ltd,2024-12-15,275000,27AABCP6789G7Z1,Textile machinery,Pending,,12%,16500,16500,0,308000
SALE-2024-008,STU Food Products,2024-12-18,150000,27AABCS1234H8Z2,Food processing equipment,Paid,2024-12-30,5%,3750,3750,0,157500
SALE-2024-009,VWX Chemicals Ltd,2024-12-20,400000,27AABCV5678I9Z3,Chemical processing units,Pending,,18%,36000,36000,0,472000
SALE-2024-010,YZA Automobiles,2024-12-22,320000,27AABCY9012J0Z4,Automotive parts,Paid,2025-01-05,12%,19200,19200,0,358400
